prompt,deviation,rgb,hex
carnation pink,22.9,208 144 150,#d09096
carrot orange,23.69,208 100 19,#d06413
cerise,27.35,189 75 75,#bd4b4b
cerulean,33.08,75 166 184,#4ba6b8
cerulean blue,29.82,59 152 186,#3b98ba
cerulean blue pb35,30.75,74 161 190,#4aa1be
cerulean blue sub,30.35,61 150 179,#3d96b3
cerulean blue sub pb15,30.87,70 155 186,#469bba
chameleon green,34.33,63 154 61,#3f9a3d
champagne,24.02,190 156 98,#be9c62
charcoal,16.83,64 65 62,#40413e
charcoal blue,20.59,42 68 88,#2a4458
chartreuse,18.54,164 217 33,#a4d921
cheese orange,16.51,218 142 13,#da8e0d
cherry red,28.11,176 35 29,#b0231d
chestnut,23.13,150 96 54,#966036
chestnut red,25.36,162 60 35,#a23c23
chilli pepper,38.01,172 47 16,#ac2f10
chinese vermilion,28.24,197 56 25,#c53819
chinese vermilion sub pr3,35.43,186 54 22,#ba3616
chinise vermillian,37.51,168 139 91,#a88b5b
chocolate,15.57,102 64 43,#66402b
chocolate brown,19.76,98 63 42,#623f2a
chrome aluminum,26.95,144 129 113,#908171
chrome gold,23.12,181 136 40,#b58828
chrome green,23.85,41 158 56,#299e38
chrome pink,19.46,206 126 145,#ce7e91
chrome white,16.61,198 200 195,#c6c8c3
chrome yellow,17.73,231 198 10,#e7c60a
chrome yellow deep,19.37,221 182 6,#ddb606
chrome yellow deep py34,19.18,229 193 15,#e5c10f
chrome yellow light,21.23,219 188 9,#dbbc09
chrome yellow light py34,22.77,226 202 20,#e2ca14
chromium oxide green,28.71,55 145 64,#379140
chromium oxide green pg17,32.51,67 164 73,#43a449
cinnamon,19.01,177 103 45,#b1672d
citron green,23.8,140 222 31,#8cde1f
clematis violet,19.49,139 106 149,#8b6a95
cloudy gray,13.91,149 152 147,#959893
clover green,22.08,65 169 63,#41a93f
cobalt blue,29.16,32 89 158,#20599e
cobalt blue deep,28.64,25 76 142,#194c8e
cobalt blue deep pb74,30.37,37 85 144,#255590
cobalt blue pb72,31.06,45 96 156,#2d609c
cobalt blue turquoise,26.31,32 150 180,#2096b4
cobalt blue turquoise pb36,28.45,50 162 180,#32a2b4
cobalt green deep,22.35,20 123 76,#147b4c
cobalt green deep pg19,19.48,24 125 79,#187d4f
cobalt green light,25.45,27 158 81,#1b9e51
cobalt green light pg19,30.38,56 180 100,#38b464
cobalt violet deep,25.02,51 48 125,#33307d
cobalt violet deep pv14,26.67,55 55 125,#37377d
cold metal,32.41,90 86 79,#5a564f
columbia blue,24.59,77 131 160,#4d83a0
construction cone orange,19.84,211 110 22,#d36e16
cookie brown,19.41,147 100 59,#93643b
cool black,13.58,28 29 26,#1c1d1a
copper,20.88,157 90 53,#9d5a35
copper red,21.92,173 59 27,#ad3b1b
coral,34.69,202 116 97,#ca7461
coral blue,25.44,124 165 175,#7ca5af
coral brown,21.8,196 105 69,#c46945
coral peach,16.69,225 146 116,#e19274
corn yellow,17.87,227 191 22,#e3bf16
cornflowerblue,25.08,67 135 177,#4387b1
cornsilk,21.14,194 162 65,#c2a241
cosmic latte,26.54,169 131 87,#a98357
cotton candy,21.57,211 160 166,#d3a0a6
cranberry,29.85,145 55 55,#913737
cream,14.58,210 194 155,#d2c29b
cream white,9.15,225 219 200,#e1dbc8
creamy white,9.87,224 218 197,#e0dac5
